"company","day_of_week_id","day_of_week","ride_count"
"Flash Cab","1","Monday","3765"
"Taxi Affiliation Services","1","Monday","3141"
"Flash Cab","2","Tuesday","4012"
"Taxi Affiliation Services","2","Tuesday","3363"
"Flash Cab","3","Wednesday","3884"
"Taxi Affiliation Services","3","Wednesday","3298"
"Flash Cab","4","Thursday","3811"
"Taxi Affiliation Services","4","Thursday","3309"
"Flash Cab","5","Friday","3551"
"Taxi Affiliation Services","5","Friday","2891"
"Flash Cab","6","Saturday","2808"
"Taxi Affiliation Services","6","Saturday","1950"
"Flash Cab","7","Sunday","2420"
"Taxi Affiliation Services","7","Sunday","1806"
